"727";"515584.72710622626";"5.0%";"269089.711338759";"541363.9634615376";"Mon";"Dec";"31";"00:00:00";"MSK";"2012"
"142";"365480.06431884784";"5.0%";"307564.273931652";"383754.06753479026";"Wed";"Nov";"22";"00:00:00";"MSK";"2017"
"994";"998247.5422287153";"5.0%";"1048159.919340151";"1048159.919340151";"Thu";"Jan";"17";"00:00:00";"MSK";"2013"
"648";"379053.494423995";"5.0%";"398006.1691451948";"398006.1691451948";"Sun";"Apr";"01";"00:00:00";"MSK";"2018"
"923";"653542.8562316684";"5.0%";"686219.9990432519";"686219.9990432519";"Wed";"Dec";"29";"00:00:00";"MSK";"2010"
"66";"917164.7380161731";"5.0%";"963022.9749169818";"963022.9749169818";"Mon";"Dec";"19";"00:00:00";"MSK";"2016"
"347";"228704.99703291425";"5.0%";"137574.93698362174";"240140.24688455998";"Fri";"Aug";"30";"00:00:00";"MSK";"2013"
"604";"726951.8727512616";"5.0%";"276873.0731232223";"763299.4663888246";"Wed";"May";"01";"00:00:00";"MSK";"2019"
"193";"643058.4966596896";"5.0%";"497437.0912979625";"675211.421492674";"Sun";"Jan";"06";"00:00:00";"MSK";"2013"
"288";"905033.6444390039";"5.0%";"950285.3266609542";"950285.3266609542";"Thu";"May";"21";"00:00:00";"MSK";"2015"
"803";"422871.40952979354";"5.0%";"444014.98000628327";"444014.98000628327";"Tue";"Aug";"22";"00:00:00";"MSK";"2017"
"661";"725706.1149059522";"5.0%";"761991.4206512499";"761991.4206512499";"Sat";"Nov";"01";"00:00:00";"MSK";"2014"
"735";"801706.7485874958";"5.0%";"841792.0860168706";"841792.0860168706";"Fri";"Mar";"08";"00:00:00";"MSK";"2019"
"517";"676358.9517095278";"5.0%";"289916.6667775761";"710176.8992950042";"Tue";"Nov";"26";"00:00:00";"MSK";"2019"
"45";"649020.0431009881";"5.0%";"681471.0452560376";"681471.0452560376";"Fri";"Apr";"24";"00:00:00";"MSK";"2015"
"836";"305371.96663013735";"5.0%";"238721.0581543425";"320640.56496164424";"Sun";"Dec";"04";"00:00:00";"MSK";"2011"
"410";"392441.1649291262";"5.0%";"412063.22317558253";"412063.22317558253";"Wed";"Jul";"27";"00:00:00";"MSK";"2016"
"3581";"529807.9421847976";"5.0%";"556298.3392940375";"556298.3392940375";"Sun";"Aug";"17";"00:00:00";"MSK";"2014"
"125";"704761.958406807";"5.0%";"284487.89842369716";"740000.0563271474";"Thu";"Apr";"04";"00:00:00";"MSK";"2019"
"462";"282961.419353518";"5.0%";"297109.4903211939";"297109.4903211939";"Sun";"Jul";"10";"00:00:00";"MSK";"2011"
